date,district_raw,district_key,in_district_list,in_revenue_circle
2025-05-13,Kamrup (M),kamrupm,True,True
2025-05-15,Kamrup,kamrup,True,True
2025-05-16,Lakhimpur,lakhimpur,True,True
2025-05-20,Kamrup (M),kamrupm,True,True
2025-05-21,Kamrup (M),kamrupm,True,True
2025-05-22,Kamrup (M),kamrupm,True,True
2025-05-29,Kamrup (M),kamrupm,True,True
2025-05-30,Cachar,cachar,True,True
2025-05-30,Kamrup M,kamrupm,True,True
2025-05-31,Dhemaji,dhemaji,True,True
2025-05-31,South Salmara,southsalmara,True,True
2025-05-31,Lakhimpur,lakhimpur,True,True
2025-05-31,Dibrugarh,dibrugarh,True,True
2025-05-31,Golaghat,golaghat,True,True
2025-05-31,Darrang,darrang,True,True
2025-05-31,Nagaon,nagaon,True,True
2025-05-31,Karbi Anglong,karbianglong,True,True
2025-05-31,Kamrup,kamrup,True,True
2025-05-31,Biswanath,biswanath,True,True
2025-05-31,Tinsukia,tinsukia,True,True
2025-05-31,Karbi Anglong West,karbianglongwest,True,True
2025-06-01,Lakhimpur,lakhimpur,True,True
2025-06-01,Dibrugarh,dibrugarh,True,True
2025-06-01,Hailakandi,hailakandi,True,True
2025-06-01,Hojai,hojai,True,True
2025-06-01,Kamrup,kamrup,True,True
2025-06-01,Dhemaji,dhemaji,True,True
2025-06-01,Nagaon,nagaon,True,True
2025-06-01,Sribhumi,sribhumi,True,True
2025-06-01,Darrang,darrang,True,True
2025-06-01,Karbi Anglong,karbianglong,True,True
2025-06-01,Sonitpur,sonitpur,True,True
2025-06-01,Dima-Hasao,dimahasao,True,True
2025-06-01,Biswanath,biswanath,True,True
2025-06-01,Cachar,cachar,True,True
2025-06-01,Sivasagar,sivasagar,True,True
2025-06-01,Majuli,majuli,True,True
2025-06-01,Golaghat,golaghat,True,True
2025-06-01,Tinsukia,tinsukia,True,True
2025-06-01,Karbi Anglong West,karbianglongwest,True,True
2025-06-02,Hailakandi,hailakandi,True,True
2025-06-02,Hojai,hojai,True,True
2025-06-02,Lakhimpur,lakhimpur,True,True
2025-06-02,Nagaon,nagaon,True,True
2025-06-02,Sribhumi,sribhumi,True,True
2025-06-02,Karbi Anglong,karbianglong,True,True
2025-06-02,Dibrugarh,dibrugarh,True,True
2025-06-02,Morigaon,morigaon,True,True
2025-06-02,Kamrup,kamrup,True,True
2025-06-02,Cachar,cachar,True,True
2025-06-02,Golaghat,golaghat,True,True
2025-06-02,Darrang,darrang,True,True
2025-06-02,Majuli,majuli,True,True
2025-06-02,Dhemaji,dhemaji,True,True
2025-06-02,Biswanath,biswanath,True,True
2025-06-02,Kamrup (M),kamrupm,True,True
2025-06-02,Karbi Anglong West,karbianglongwest,True,True
2025-06-02,Jorhat,jorhat,True,True
2025-06-02,Tinsukia,tinsukia,True,True
2025-06-02,Sonitpur,sonitpur,True,True
2025-06-02,Dima-Hasao,dimahasao,True,True
2025-06-02,Sivasagar,sivasagar,True,True
2025-06-03,Hailakandi,hailakandi,True,True
2025-06-03,Nagaon,nagaon,True,True
2025-06-03,Sribhumi,sribhumi,True,True
2025-06-03,Kamrup,kamrup,True,True
2025-06-03,Hojai,hojai,True,True
2025-06-03,Lakhimpur,lakhimpur,True,True
2025-06-03,Morigaon,morigaon,True,True
2025-06-03,Cachar,cachar,True,True
2025-06-03,Golaghat,golaghat,True,True
2025-06-03,Dibrugarh,dibrugarh,True,True
2025-06-03,Barpeta,barpeta,True,True
2025-06-03,Biswanath,biswanath,True,True
2025-06-03,Sonitpur,sonitpur,True,True
2025-06-03,Dhemaji,dhemaji,True,True
2025-06-03,Majuli,majuli,True,True
2025-06-03,Karbi Anglong West,karbianglongwest,True,True
2025-06-03,Darrang,darrang,True,True
2025-06-03,Sivasagar,sivasagar,True,True
2025-06-03,Tinsukia,tinsukia,True,True
2025-06-03,Dima-Hasao,dimahasao,True,True
2025-06-03,Jorhat,jorhat,True,True
2025-06-04,Hailakandi,hailakandi,True,True
2025-06-04,Dibrugarh,dibrugarh,True,True
2025-06-04,Morigaon,morigaon,True,True
2025-06-04,Hojai,hojai,True,True
2025-06-04,Kamrup,kamrup,True,True
2025-06-04,Nagaon,nagaon,True,True
2025-06-04,Golaghat,golaghat,True,True
2025-06-04,Biswanath,biswanath,True,True
2025-06-04,Cachar,cachar,True,True
2025-06-04,Sribhumi,sribhumi,True,True
2025-06-04,Sonitpur,sonitpur,True,True
2025-06-04,Lakhimpur,lakhimpur,True,True
2025-06-04,Darrang,darrang,True,True
2025-06-04,Barpeta,barpeta,True,True
2025-06-04,Goalpara,goalpara,True,True
2025-06-04,South Salmara,southsalmara,True,True
2025-06-04,Karbi Anglong West,karbianglongwest,True,True
2025-06-04,Dima-Hasao,dimahasao,True,True
2025-06-04,Sivasagar,sivasagar,True,True
2025-06-04,Kamrup (M),kamrupm,True,True
2025-06-04,Dhemaji,dhemaji,True,True
2025-06-05,Hailakandi,hailakandi,True,True
2025-06-05,Cachar,cachar,True,True
2025-06-05,Sribhumi,sribhumi,True,True
2025-06-05,Dibrugarh,dibrugarh,True,True
2025-06-05,Kamrup,kamrup,True,True
2025-06-05,Morigaon,morigaon,True,True
2025-06-05,Golaghat,golaghat,True,True
2025-06-05,Biswanath,biswanath,True,True
2025-06-05,Hojai,hojai,True,True
2025-06-05,Nagaon,nagaon,True,True
2025-06-05,Dhemaji,dhemaji,True,True
2025-06-05,Darrang,darrang,True,True
2025-06-05,Sonitpur,sonitpur,True,True
2025-06-05,Sivasagar,sivasagar,True,True
2025-06-05,Goalpara,goalpara,True,True
2025-06-05,Jorhat,jorhat,True,True
2025-06-05,Lakhimpur,lakhimpur,True,True
2025-06-05,Tinsukia,tinsukia,True,True
2025-06-05,Kamrup (M),kamrupm,True,True
2025-06-06,Cachar,cachar,True,True
2025-06-06,Nagaon,nagaon,True,True
2025-06-06,Sribhumi,sribhumi,True,True
2025-06-06,Hailakandi,hailakandi,True,True
2025-06-06,Kamrup,kamrup,True,True
2025-06-06,Hojai,hojai,True,True
2025-06-06,Dibrugarh,dibrugarh,True,True
2025-06-06,Bongaigaon,bongaigaon,True,True
2025-06-06,Morigaon,morigaon,True,True
2025-06-06,Darrang,darrang,True,True
2025-06-06,Golaghat,golaghat,True,True
2025-06-06,Dhemaji,dhemaji,True,True
2025-06-06,Goalpara,goalpara,True,True
2025-06-06,Sonitpur,sonitpur,True,True
2025-06-06,Biswanath,biswanath,True,True
2025-06-06,Lakhimpur,lakhimpur,True,True
2025-06-06,Jorhat,jorhat,True,True
2025-06-06,Kamrup (M),kamrupm,True,True
2025-06-08,Hailakandi,hailakandi,True,True
2025-06-08,Sribhumi,sribhumi,True,True
2025-06-08,Morigaon,morigaon,True,True
2025-06-08,Kamrup,kamrup,True,True
2025-06-08,Goalpara,goalpara,True,True
2025-06-08,Cachar,cachar,True,True
2025-06-08,Nagaon,nagaon,True,True
2025-06-08,Kamrup (M),kamrupm,True,True
2025-06-08,Darrang,darrang,True,True
2025-06-08,Lakhimpur,lakhimpur,True,True
2025-06-08,Golaghat,golaghat,True,True
2025-06-09,Hailakandi,hailakandi,True,True
2025-06-09,Kamrup,kamrup,True,True
2025-06-09,Sribhumi,sribhumi,True,True
2025-06-09,Morigaon,morigaon,True,True
2025-06-09,Cachar,cachar,True,True
2025-06-09,Golaghat,golaghat,True,True
2025-06-09,Nagaon,nagaon,True,True
2025-06-09,Kamrup (M),kamrupm,True,True
2025-06-09,Lakhimpur,lakhimpur,True,True
2025-06-10,Hailakandi,hailakandi,True,True
2025-06-10,Sribhumi,sribhumi,True,True
2025-06-10,Kamrup,kamrup,True,True
2025-06-10,Morigaon,morigaon,True,True
2025-06-10,Nagaon,nagaon,True,True
2025-06-10,Cachar,cachar,True,True
2025-06-10,Kamrup (M),kamrupm,True,True
2025-06-10,Golaghat,golaghat,True,True
2025-06-10,Lakhimpur,lakhimpur,True,True
2025-06-11,Cachar,cachar,True,True
2025-06-11,Hailakandi,hailakandi,True,True
2025-06-11,Kamrup,kamrup,True,True
2025-06-11,Sribhumi,sribhumi,True,True
2025-06-11,Nagaon,nagaon,True,True
2025-06-11,Lakhimpur,lakhimpur,True,True
2025-06-11,Kamrup (M),kamrupm,True,True
2025-06-12,Hailakandi,hailakandi,True,True
2025-06-12,Kamrup (M),kamrupm,True,True
2025-06-12,Cachar,cachar,True,True
2025-06-12,Lakhimpur,lakhimpur,True,True
2025-06-13,Hailakandi,hailakandi,True,True
2025-06-13,Lakhimpur,lakhimpur,True,True
2025-06-14,Hailakandi,hailakandi,True,True
2025-06-14,Lakhimpur,lakhimpur,True,True
2025-06-15,Lakhimpur,lakhimpur,True,True
2025-06-17,Biswanath,biswanath,True,True
2025-06-17,Lakhimpur,lakhimpur,True,True
2025-06-18,Golaghat,golaghat,True,True
2025-06-18,Biswanath,biswanath,True,True
2025-06-18,Jorhat,jorhat,True,True
2025-06-18,Lakhimpur,lakhimpur,True,True
2025-06-19,Lakhimpur,lakhimpur,True,True
2025-06-19,Golaghat,golaghat,True,True
2025-06-20,Lakhimpur,lakhimpur,True,True
2025-06-21,Dhemaji,dhemaji,True,True
2025-06-22,Dhemaji,dhemaji,True,True
2025-06-23,Lakhimpur,lakhimpur,True,True
2025-06-23,Dhemaji,dhemaji,True,True
2025-06-24,Lakhimpur,lakhimpur,True,True
2025-06-24,Dhemaji,dhemaji,True,True
2025-06-24,Jorhat,jorhat,True,True
2025-06-25,Lakhimpur,lakhimpur,True,True
2025-06-25,Sivasagar,sivasagar,True,True
2025-06-25,Dhemaji,dhemaji,True,True
2025-06-25,Jorhat,jorhat,True,True
2025-06-26,Sivasagar,sivasagar,True,True
2025-06-26,Dhemaji,dhemaji,True,True
2025-06-26,Jorhat,jorhat,True,True
2025-06-27,Sivasagar,sivasagar,True,True
2025-06-27,Dhemaji,dhemaji,True,True
2025-06-28,Sivasagar,sivasagar,True,True
2025-07-01,Lakhimpur,lakhimpur,True,True
2025-07-02,Lakhimpur,lakhimpur,True,True
2025-07-02,Biswanath,biswanath,True,True
2025-07-03,Lakhimpur,lakhimpur,True,True
2025-07-03,Biswanath,biswanath,True,True
2025-07-04,Biswanath,biswanath,True,True
2025-07-04,Dhemaji,dhemaji,True,True
2025-07-04,Dima-Hasao,dimahasao,True,True
2025-07-04,Lakhimpur,lakhimpur,True,True
2025-07-04,Jorhat,jorhat,True,True
2025-07-05,Golaghat,golaghat,True,True
2025-07-05,Biswanath,biswanath,True,True
2025-07-05,Dhemaji,dhemaji,True,True
2025-07-05,Lakhimpur,lakhimpur,True,True
2025-07-05,Jorhat,jorhat,True,True
2025-07-05,Karbi Anglong,karbianglong,True,True
2025-07-06,Hojai,hojai,True,True
2025-07-06,Karbi Anglong,karbianglong,True,True
2025-07-06,Golaghat,golaghat,True,True
2025-07-06,Jorhat,jorhat,True,True
2025-07-07,Hojai,hojai,True,True
2025-07-07,Golaghat,golaghat,True,True
2025-07-07,Jorhat,jorhat,True,True
2025-07-07,Karbi Anglong,karbianglong,True,True
2025-07-07,Sivasagar,sivasagar,True,True
2025-07-08,Golaghat,golaghat,True,True
2025-07-08,Hojai,hojai,True,True
2025-07-08,Nagaon,nagaon,True,True
2025-07-08,Sivasagar,sivasagar,True,True
2025-07-08,Jorhat,jorhat,True,True
2025-07-08,Karbi Anglong,karbianglong,True,True
2025-07-09,Golaghat,golaghat,True,True
2025-07-09,Nagaon,nagaon,True,True
2025-07-09,Hojai,hojai,True,True
2025-07-09,Karbi Anglong,karbianglong,True,True
2025-07-09,Jorhat,jorhat,True,True
2025-07-10,Golaghat,golaghat,True,True
2025-07-10,Hojai,hojai,True,True
2025-07-10,Nagaon,nagaon,True,True
2025-07-10,Karbi Anglong,karbianglong,True,True
2025-07-10,Jorhat,jorhat,True,True
2025-07-11,Golaghat,golaghat,True,True
2025-07-11,Hojai,hojai,True,True
2025-07-11,Nagaon,nagaon,True,True
2025-07-11,Jorhat,jorhat,True,True
2025-07-12,Nagaon,nagaon,True,True
2025-07-12,Jorhat,jorhat,True,True
2025-07-12,Golaghat,golaghat,True,True
2025-07-13,Golaghat,golaghat,True,True
2025-07-13,Nagaon,nagaon,True,True
2025-07-13,Jorhat,jorhat,True,True
2025-07-14,Golaghat,golaghat,True,True
2025-07-14,Nagaon,nagaon,True,True
2025-07-15,Golaghat,golaghat,True,True
2025-07-15,Nagaon,nagaon,True,True
2025-07-16,Nagaon,nagaon,True,True
2025-07-16,Golaghat,golaghat,True,True
2025-07-17,Nagaon,nagaon,True,True
2025-07-17,Golaghat,golaghat,True,True
2025-07-18,Golaghat,golaghat,True,True
2025-07-18,Jorhat,jorhat,True,True
2025-07-18,Nagaon,nagaon,True,True
2025-07-19,Dhemaji,dhemaji,True,True
2025-07-19,Golaghat,golaghat,True,True
2025-07-20,Dhemaji,dhemaji,True,True
2025-07-21,Dhemaji,dhemaji,True,True
2025-07-22,Dhemaji,dhemaji,True,True
2025-07-26,Biswanath,biswanath,True,True
2025-07-28,Biswanath,biswanath,True,True
2025-07-29,Biswanath,biswanath,True,True
2025-07-30,Biswanath,biswanath,True,True
2025-07-30,Dima-Hasao,dimahasao,True,True
2025-08-07,Charaideo,charaideo,True,True
2025-08-07,Dibrugarh,dibrugarh,True,True
2025-08-08,Dibrugarh,dibrugarh,True,True
2025-08-08,Dhemaji,dhemaji,True,True
2025-08-08,Sivasagar,sivasagar,True,True
2025-08-08,Charaideo,charaideo,True,True
2025-08-09,Dibrugarh,dibrugarh,True,True
2025-08-09,Sivasagar,sivasagar,True,True
2025-08-09,Dhemaji,dhemaji,True,True
2025-08-09,Charaideo,charaideo,True,True
2025-08-10,Dibrugarh,dibrugarh,True,True
