district,rows,with_rain,pos,rain_pct,pos_pct
Karbi Anglong,277,122,23,44.0,8.3
Nagaon,277,125,49,45.1,17.69
Jorhat,270,128,64,47.4,23.7
Chirang,273,135,4,49.5,1.47
Bongaigaon,273,156,2,57.1,0.73
Kokrajhar,271,156,8,57.6,2.95
Goalpara,273,161,10,59.0,3.66
Morigaon,272,166,8,61.0,2.94
Sivasagar,277,170,67,61.4,24.19
Baksa,277,178,1,64.3,0.36
Lakhimpur,277,180,66,65.0,23.83
Nalbari,277,184,6,66.4,2.17
Barpeta,273,184,2,67.4,0.73
Kamrup,277,188,19,67.9,6.86
Sonitpur,273,187,29,68.5,10.62
Golaghat,275,194,66,70.5,24.0
Dibrugarh,277,197,51,71.1,18.41
Tinsukia,277,198,13,71.5,4.69
Hailakandi,277,226,13,81.6,4.69
Cachar,274,230,23,83.9,8.39
Sribhumi,276,234,10,84.8,3.62
