feature,mean_abs_shap,model
num__day_of_year,2.646755990526713,LogisticRegression
num__month,2.5097630502590764,LogisticRegression
num__rain_prev15d_sum,1.3469820013671177,LogisticRegression
num__rain_anom_15d,0.5074040267712919,LogisticRegression
cat__district_Nalbari,0.4052189663244294,LogisticRegression
num__rain_prev7d_sum,0.3728150649386651,LogisticRegression
num__rain_prev7d_max,0.33909328757873713,LogisticRegression
cat__district_Sivasagar,0.27741234827555333,LogisticRegression
cat__district_Jorhat,0.2533289281971887,LogisticRegression
cat__district_Baksa,0.2451084876144806,LogisticRegression
cat__district_Chirang,0.21935228685150931,LogisticRegression
cat__district_Golaghat,0.2117868251238001,LogisticRegression
cat__district_Nagaon,0.15638245037263315,LogisticRegression
cat__district_Bongaigaon,0.15501819039568981,LogisticRegression
cat__district_Sribhumi,0.12106091004883973,LogisticRegression
cat__district_Karbi Anglong,0.11818377145235592,LogisticRegression
cat__district_Dibrugarh,0.09134408129528303,LogisticRegression
cat__district_Goalpara,0.0881545063801181,LogisticRegression
cat__district_Barpeta,0.082262543346452,LogisticRegression
cat__district_Lakhimpur,0.08049625105674173,LogisticRegression
cat__district_Kamrup,0.07965304947138674,LogisticRegression
num__rain_anom_7d,0.0728658211008018,LogisticRegression
cat__district_Kokrajhar,0.0709537627512842,LogisticRegression
cat__district_Morigaon,0.05654581556602604,LogisticRegression
num__wet_days_prev7d,0.05624693531006469,LogisticRegression
cat__district_Sonitpur,0.05013591081458268,LogisticRegression
cat__district_Hailakandi,0.02931404304278047,LogisticRegression
cat__district_Tinsukia,0.009699419642458218,LogisticRegression
cat__district_Cachar,0.006427253330760128,LogisticRegression
num__rain_state_prev3d,0.003916840270775758,LogisticRegression
num__rain_prev3d_sum,0.0015718899541934234,LogisticRegression
num__day_of_year,1.0854806,XGBoost
num__rain_anom_15d,0.5415867,XGBoost
num__rain_anom_7d,0.159265,XGBoost
cat__district_Nalbari,0.14227253,XGBoost
cat__district_Jorhat,0.13826938,XGBoost
cat__district_Baksa,0.12965943,XGBoost
cat__district_Golaghat,0.12559442,XGBoost
num__rain_prev15d_sum,0.12467204,XGBoost
num__rain_prev7d_max,0.12362365,XGBoost
cat__district_Sivasagar,0.12000422,XGBoost
cat__district_Lakhimpur,0.1056123,XGBoost
num__rain_state_prev3d,0.10261762,XGBoost
cat__district_Nagaon,0.08461628,XGBoost
cat__district_Chirang,0.08330347,XGBoost
num__rain_prev3d_sum,0.079087846,XGBoost
num__month,0.07511652,XGBoost
cat__district_Morigaon,0.07415709,XGBoost
num__rain_prev7d_sum,0.07390467,XGBoost
cat__district_Tinsukia,0.072596945,XGBoost
cat__district_Sribhumi,0.0699164,XGBoost
cat__district_Bongaigaon,0.061824683,XGBoost
num__wet_days_prev7d,0.05916707,XGBoost
cat__district_Barpeta,0.052756514,XGBoost
cat__district_Kamrup,0.04888374,XGBoost
cat__district_Dibrugarh,0.044897348,XGBoost
cat__district_Hailakandi,0.043594383,XGBoost
cat__district_Goalpara,0.033080578,XGBoost
cat__district_Cachar,0.009217098,XGBoost
cat__district_Karbi Anglong,0.0046193814,XGBoost
cat__district_Kokrajhar,0.0030157801,XGBoost
cat__district_Sonitpur,0.0013201281,XGBoost
