Principal Component,Eigenvalue,Explained Variance Ratio,Cumulative Variance Ratio
PC1,3.980085805895639,0.39688107752840357,0.39688107752840357
PC2,1.4821727940423928,0.14779740042575698,0.5446784779541606
PC3,1.255216051491558,0.12516601986544712,0.6698444978196076
PC4,1.0137425996587943,0.1010870807591772,0.7709315785787848
PC5,0.660159846396182,0.06582897051882607,0.8367605490976109
PC6,0.5951963228577642,0.05935102142944276,0.8961115705270537
PC7,0.5218448143406923,0.05203665004190471,0.9481482205689584
PC8,0.4348822404321819,0.043365027941112744,0.9915132485100712
PC9,0.07584994200679024,0.007563506964983048,0.9990767554750543
PC10,0.009258673787097445,0.0009232445249456939,1.0
